ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:11:39-04:00,410625,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,3,-690997711,-1580942807555,-438712711533488,1648764050,-379759200693160,-438756419484738
2022-03-31 19:11:39-04:00,410626,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,8,9351154,-2262125264823,91565239380476,1648764080,172012768360237,91565652759642
2022-03-31 19:14:49-04:00,410627,D2Suy1ThFuJTHCvb46yDyBMP2cBEYhbBRmUWkr9qLto1,FimQacEtDrLbyyJgfdTJDMDjz7m3hxySf5GeQCjPUoX8,14,8656580379096,-16799867816946541,2089190110395,1648764014,2140717779978,2140717779978
2022-03-31 19:14:49-04:00,410628,D2Suy1ThFuJTHCvb46yDyBMP2cBEYhbBRmUWkr9qLto1,FimQacEtDrLbyyJgfdTJDMDjz7m3hxySf5GeQCjPUoX8,15,1886036656915,-1815038416297887889,1227809164,1648764015,1331720830,1331720830
2022-03-31 19:16:14-04:00,410629,9cipxJHSmfEH17ADnsFSK12CjhARZ9VsiRRB3YmNAfwQ,AsGGmcTu3aWyU48yEyjvuvrC7QjrSQ718UEmKY2UKU9e,3,60622928383,138700000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:16:14-04:00,410630,9cipxJHSmfEH17ADnsFSK12CjhARZ9VsiRRB3YmNAfwQ,AsGGmcTu3aWyU48yEyjvuvrC7QjrSQ718UEmKY2UKU9e,0,62238912067,-255700000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:16:15-04:00,410631,E1zvHKCESYp2DXuSKVLPxLU3sMjvex9i2Vni9zgPxx7B,84tSf53QdovJcFY9q6jbV7Vod85PdrmJBhbsyVqizQcp,0,35172165794,-144500000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:19:13-04:00,410632,9axFMj6JjQbFY4o2E6vKxa3ZxyeJ6fd6aFE6dEMMfVH2,GFFkAkWjsGHUXChLaSgz8WEHjnnAR5tyHTxMc4gLd4Jc,3,1297426824905,2968400000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:19:17-04:00,410633,7uM5Lq8QgEZcLtjneRg3MApoVyqoFA8Mwv64na8AzHxc,9ogNi3cYz4Ws97KMM1xaDb3brWPXLxTaQVbFPT45BTQ7,0,1947247933,-8000000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:19:17-04:00,410634,7uM5Lq8QgEZcLtjneRg3MApoVyqoFA8Mwv64na8AzHxc,9ogNi3cYz4Ws97KMM1xaDb3brWPXLxTaQVbFPT45BTQ7,3,653433871187,1495000000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
