,0,1,2,3,4,5,6,7,8,9
initialized,True,True,True,True,True,True,True,True,True,True
base_asset_amount,-52889.89882525545,-44.380884929885,-270.875519143828,-28030.19462133103,2401.260727545937,-2759.9671240792313,-500253.12470956973,-48895.557118397286,-31395.96274627749,468123.8886848267
base_asset_amount_long,2879.805377669677,1.7261878598973,37.8570196861235,2266.2473956961503,8158.0107111517555,31.3411264861166,13319.933716744397,2757.129334745821,684.8508027565568,523131.0176874304
base_asset_amount_short,-55769.704202925124,-46.1070727897823,-308.7325388299515,-30296.44201702718,-5756.749983605819,-2791.3082505653474,-513573.05842631415,-51652.686453143106,-32080.813549034046,-55007.1290026036
initialized,True,True,True,True,True,True,True,True,True,True
open_interest,1270,538,368,176,151,76,71,110,46,42
market_index,0,1,2,3,4,5,6,7,8,9
market_name,SOL-PERP,BTC-PERP,ETH-PERP,LUNA-PERP,AVAX-PERP,BNB-PERP,MATIC-PERP,ATOM-PERP,DOT-PERP,ADA-PERP
oracle,H6ARHf6YXhGYeQfUzQNGk6rDNnLBQKrenN712K4AQJEG,GVXRSBjFk6e6J3NbVPXohDJetcTjaeeuykUpbQF8UoMU,JBu1AL4obBcCMqKBBxhpWCNUt136ijcuMZLFvTP7iWdB,5bmWuR1dgP4avtGYMNKLuxumZTVKGgoN2BCMXWDNL9nY,Ax9ujW5B9oqcv59N8m6f1BpTBq2rGeGaBcpKjC5UYsXU,4CkQJBxhU8EZ2UjhigbtdaPbpTe6mqf811fipYBFbSYN,7KVswB9vkCgeM3SHP7aGDijvdRAHK8P5wi9JXViCrtYh,CrCpTerNqtZvqLcKqz1k13oVeXV9WkMD2zA9hBKXrsbN,EcV1X1gY2yb4KXxjVQtTHTbioum2gvmPnFk4zYAt7zne,3pyn4svBbxJ9Wnn3RVeafyLWfzie6yC5eTig2S62v9SC
base_asset_reserve,237961.93868423332,371.888218575047,1847.7141147685215,359862.0550865595,213343.80582727634,30020.652466699084,6853072.162108143,423371.0702701814,411357.330494626,8038123.426570281
quote_asset_reserve,110107.1685887276,285.9696074426068,1335.4815759862922,304201.69582063257,223948.32172880849,24304.613475337344,5893708.063721658,333703.663524135,351157.51041859563,9008248.27672684
cumulative_funding_rate_long,13.91904605007601,8963.236290790279,407.86429813626256,-0.28625820047969,1.90143005632065,23.60134017064892,0.08850716230305,1.97707265535264,1.26411706941591,-0.01107768799116
cumulative_funding_rate_short,3.20474895111375,4015.5913970097586,332.6120443908528,-0.87623038839547,0.23535574970308,7.30584664611094,0.06635509985543,1.95257120970789,0.45964591340996,-0.01107768799116
last_funding_rate,0.00401643390416,1.6630161987625,0.15466182319583,-0.00059949687083,-0.00270520860833,0.02322506619583,6.575005416e-05,0.00235451352083,0.00090305745,-4.937093333e-05
last_funding_rate_ts,2022-02-11 12:00:05,2022-02-11 12:00:29,2022-02-11 12:00:03,2022-02-11 12:00:07,2022-02-11 12:00:03,2022-02-11 12:00:14,2022-02-11 12:00:30,2022-02-11 12:00:06,2022-02-11 12:01:01,2022-02-11 12:03:43
last_oracle_price_twap,105.9605828444,43451.5184691016,3100.147459184,54.0456215287,89.9627721023,415.8221560381,1.8596568835,28.9118089363,20.5357080903,1.1534239204
last_mark_price_twap,106.0507377273,43486.0965187217,3102.8833475594,54.0307996217,89.8889281078,416.3009779776,1.8611559773,28.9616701851,20.5530246,1.1522123158
last_mark_price_twap_ts,2022-02-11 12:27:59,2022-02-11 12:25:24,2022-02-11 12:26:22,2022-02-11 12:26:21,2022-02-11 12:30:09,2022-02-11 12:25:10,2022-02-11 12:25:10,2022-02-11 12:29:42,2022-02-11 12:26:17,2022-02-11 12:26:16
sqrt_k,161868.20348791586,326.111526748805,1570.855867978721,330863.48758790124,218581.76334327465,27011.85581333785,6355313.262387873,375872.95350862044,380067.3835899791,8509371.980676329
peg_multiplier,230.19,56816.0,4319.1,64.275,85.765,515.4,2.175,36.915,24.134,1.035
total_fee,884006.296097,228774.124644,149925.660422,620727.421118,408534.503705,148610.833047,268143.502844,306547.247394,92660.522476,69514.423141
total_fee_minus_distributions,517103.547063,122191.356958,79855.309634,486765.02975,258007.879751,82990.947982,171615.046796,211945.634992,65565.895555,63095.020206
total_fee_withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mark_price,106.51102137418638,43689.6045771893,3121.7375181252055,54.33349730125917,90.02805466319109,417.26600709575536,1.8705209481773908,29.09662847565866,20.602125520048567,1.1599146307697914
