,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
0,5ZFptuypGXF8uQFVLvDQkyr8qhVfWDHWiJ2jvJo7B3FK,6DAuyB7L9pUGwbVqU9STHr7HBpVxAsAHew38mDfcVsEn,,,,,,
1,856Avg46j6AQWU1CV3jJarkyjmmcfbtNUuH7uhb5j3pS,B4d2jeqrd56h27XDzcxeCgfD6TCB6M3kRcWXSgWVt8sf,,,,,,
2,J4e3wsNJHnifiCj8TbA2BxcCYwfa1aHks7T8nk6tKdhG,QRNE94J8jKk3gvaSpXcHBvQARihaaomxa44Z8X1zvhh,0.0,1.0,9.99,0.0002291988439,5336.9656818393805,43586.6072882927
3,6NUXaZBfkUZgUZGBRkZLwcUDk52xspT1Zm8pasNQT8CT,32GfcSmDHExFEgudZvmPEJPBqaLA9ba4dNV3K8gnpP83,0.0,0.0,18.8,0.1848779446007,14.0765171392966,101.68871165570508
4,6NUXaZBfkUZgUZGBRkZLwcUDk52xspT1Zm8pasNQT8CT,32GfcSmDHExFEgudZvmPEJPBqaLA9ba4dNV3K8gnpP83,1.0,1.0,18.8,0.0004336307363,9107.649950780098,43354.860313669145
5,6NUXaZBfkUZgUZGBRkZLwcUDk52xspT1Zm8pasNQT8CT,32GfcSmDHExFEgudZvmPEJPBqaLA9ba4dNV3K8gnpP83,2.0,2.0,18.8,0.0062038044731,418.35428506859154,3030.3985371424455
6,8p2vQq28iag5CKYCfSyYjbPMNxPGWhKRjVX7DmfkTWpQ,E2LPAaWzD54iWxn9UrQe9178fMcEMP9iDPo37TXP9pqL,,,,,,
7,9Q8RDzWXxwA3d8hTYtV4Pv3XYE5jS7QCSydsALooKNNh,HSAcMZogoQcX6iBjkEVkz6kLbZFQmPwniAw8bGzvpi5i,,,,,,
8,4d5Ruk9z9o7hfF6CTagyUD5X9bDCBAcc8viTmCzrUP9b,EZTKLkNGpS5q54SV9675W4QHUBojvcBDb3gSvEm8aLj9,,,,,,
9,39rNK2TiFPvFGRyktgrfJ12ZaWV2w73f5t7sADDiWxng,DDUENeduaGiRmyEgpiXjQuWcUnuUEcCM2Y7h9N8osoFX,,,,,,
10,DCSyLohbXL5yhmu9ESBHR4ku4MgfnSoNeUsL7oDcEG8Z,Cea5Ry4zLro67jEoS3ba213KYNbvq6VXyZ6JgnjTHd89,,,,,,
11,2Kdz882CyRFMhKPvV2zAN8E2YMBV3hnnTRNku7HUEcQV,31Z59M5HPSxUahn49bNkXcUds2afzd9u2K6ivDTJA8PR,,,,,,
12,7waWAXNSuW8m6hrKuwyYF2bZEYYGdPKYVn7C46YUDqTy,6t7mPnXmMUcfHA2XXJ378xeGcbebLvqaqfAFffu7M7vA,,,,,,
13,FgrKqLG2pzmqdFpLCLV4PwPanX2Z5dnqnrqEULF1ux62,Hai2DMs6rtvkHZ2Y598XfBAAc69x4SWtUeMcUqiCeCx3,,,,,,
14,3QWvyoXJ52xStsiR5AdrCv2MwrHWbYn1iFVPtamNNETF,Dafm2sfQqgwYom5MJLdiktipDDWEYH91LPF4dxLSi7dv,,,,,,
15,8NP6r3SEubMnvEtorUtqz7wk5oaqQWuwwWhwpiNjMssB,GFRGFbVv1YosJh2fRxVLVrp2XbsqKuNtyEDjKgduRqAU,,,,,,
16,3qkmm4aS6EDirEDejmbm5PDw2jpYkC7zKqrMkmgeE5BA,EeUACm9TkjHKES5U7Yj1oPhYmcp7R3tvesGBiP8txEzq,,,,,,
17,AfjbDaH2ivUrHumK8A7EoF4r9XEAVDqhmaQgguL8oeEz,BMD3NQRjB6u4NVyDQ936iwefyJkPoaNjBe74jMWhwCtK,,,,,,
18,2LzsASjKW8K7Be5ojfN3pv7jvtjWbH3xmp2PywDT2rDU,BL6Xqc1SrmH3SYzkiXLQrkqZebZyvFvFuAx7csguqqyx,,,,,,
