,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
1784,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,402182.17,-250000.0,1254328.548,652182.17,inf
11200,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,163846.076,-35500.0,834203.467,199346.076,inf
13509,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,92337.03,-56033.46,244841.274,148370.49,inf
7276,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,138541.63,14796.0,199865.556,123745.63,8.363
3671,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,137240.584,39000.0,184641.663,98240.584,2.519
7647,EntLemtuTqmuHY9F4pycmGmNwBNeUghf9R6QHHd7ZTYw,0.007,-151453.04,155534.973,151453.047,inf
4107,8xvMCJuNnrrk1BtswWvvBQ59TA6ozEeVbV8LFNDLYxWS,145248.557,20000.0,134163.507,125248.557,6.262
2853,LovffUMZGTniMyci8dJ9N1HhPem1kdTJFtQn8AykWyZ,122340.706,20000.0,133279.177,102340.706,5.117
1985,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,78729.621,-25000.0,126732.505,103729.621,inf
3956,arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi,130044.388,106071.1,122202.753,23973.288,0.226
5503,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,114881.981,20000.0,119285.648,94881.981,4.744
4991,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,60619.303,40000.0,80177.57,20619.303,0.515
7812,9Q1mhzyzkKsJNdrAZqYxJ26nvsZQT2xCdewXQU7yHPP2,0.006,-67613.2,77596.225,67613.206,inf
281,4gBtJuP1YGxaKbr4TCd1K4SJ66xqgAM64sPavrojJF6g,0.008,-82177.12,68702.979,82177.128,inf
3235,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,442001.695,200000.0,55143.572,242001.695,1.21
1135,bhip1a2qNErbUg5CSXgXu1GKbSYG1Xx4UyLYT9JrHKf,53576.387,20000.0,53999.821,33576.387,1.679
